label,oneAugTwentytwo,oneSepTwentytwo,oneJanTwentyone,ThirthfirstDectwentyone,profit_Margin,earning_growth
DIVISLAB.NS,3795.19995117187,3599.19995117187,3849.05004882813,4678.2001953125,0.33556998,0.26
SUNPHARMA.NS,918.700012207031,871.849975585937,596.25,845.700012207031,0.09798,0.427
CIPLA.NS,1004.54998779297,1023,826.599975585938,944.099975585938,0.11502,-0.04
TATASTEEL.NS,108.25,106.400001525879,64.3099975585938,111.144996643066,0.15364,-0.128
ITC.NS,307.5,317.600006103516,213.850006103516,218.050003051758,0.24815,0.34
INFY.NS,1551.05004882813,1464.19995117188,1260.44995117188,1887.75,0.17368999,-0.021
HCLTECH.NS,952.150024414063,926.049987792969,950.5,1319.09997558594,0.15238,-0.025
ONGC.NS,138.399993896484,134.699996948242,93.1999969482422,142.399993896484,0.09093001,0.994
NESTLEIND.NS,19255.19921875,19732.94921875,18450.69921875,19705.69921875,0.13545,-0.043
HINDUNILVR.NS,2593,2606,2387.55004882813,2360.14990234375,0.16698,0.135
HEROMOTOCO.NS,2840.80004882812,2876.64990234375,3102.64990234375,2462.10009765625,0.08158,1.305
SBILIFE.NS,1313.30004882813,1296.55004882813,895.400024414063,1196,0.021540001,0.178
TCS.NS,3298.80004882812,3131.69995117187,2928.25,3738.35009765625,0.19486,0.052
MARUTI.NS,9003.400390625,9024.5,7691.2998046875,7426.4501953125,0.04575,1.181
BRITANNIA.NS,3855.64990234375,3718.14990234375,3567.80004882813,3606,0.10233,-0.134
WIPRO.NS,429,410.450012207031,388.100006103516,715.349975585938,0.14023,-0.207
DRREDDY.NS,4110.4501953125,4202.10009765625,5241.35009765625,4907,0.13681,1.081
ASIANPAINT.NS,3324.55004882812,3446.55004882812,2775.55004882812,3382.94995117187,0.10876001,0.789
BAJAJ-AUTO.NS,3973.30004882813,4076.30004882813,3481.25,3249.25,0.17649001,-0.006
ULTRACEMCO.NS,6657.64990234375,6632.5,5290.7998046875,7591.0498046875,0.12919,-0.07
TECHM.NS,1049.59997558594,1052.90002441406,977.950012207031,1790.55004882813,0.11334,-0.164
HDFCLIFE.NS,546.049987792969,575.599975585938,678.400024414063,649.549987792969,0.023359999,0.087
BPCL.NS,334.149993896484,331.350006103516,381.950012207031,385.450012207031,0.0058399998,
LT.NS,1814.69995117188,1912.94995117188,1297,1895.90002441406,0.055630002,0.449
JSWSTEEL.NS,639.200012207031,661.599975585937,389.700012207031,655.950012207031,0.10028,-0.858
BHARTIARTL.NS,694.450012207031,735.049987792969,515.150024414062,683.799987792969,0.04535,4.668
COALINDIA.NS,212.75,230.300003051758,135.350006103516,146.050003051758,0.20211,1.787
EICHERMOT.NS,3088.39990234375,3411.60009765625,2542.69995117187,2591.89990234375,0.17706,1.575
KOTAKBANK.NS,1855.75,1902.84997558594,1994.05004882813,1796.09997558594,0.28136,0.526
RELIANCE.NS,2574.85009765625,2560.39990234375,1987.5,2368.14990234375,0.089899994,0.416
TATAMOTORS.NS,479.200012207031,466.899993896484,186.5,482.399993896484,-0.04225,
TITAN.NS,2376.25,2622,1558.59997558594,2522.39990234375,0.0845,38.25
ICICIBANK.NS,823.400024414062,874.349975585938,527.5,740.150024414062,0.24743,0.555
GRASIM.NS,1568.40002441406,1685,933.400024414063,1622.25,0.075279996,0.16
SHREECEM.NS,20947,21586.150390625,23950.30078125,26987.44921875,0.12550001,-0.556
HDFC.NS,2383.75,2404.19995117187,2568.75,2586.44995117187,0.23327999,0.053
AXISBANK.NS,730.799987792969,744.150024414062,623.799987792969,678.549987792969,0.37225,0.859
HDFCBANK.NS,1446.15002441406,1472.15002441406,1425.05004882813,1479.40002441406,0.41358003,0.209
TATACONSUM.NS,811.099975585938,838.400024414062,601.5,743.450012207031,0.07895,0.38
BAJFINANCE.NS,7261,7181.2998046875,5280.14990234375,6977.2998046875,0.42613998,1.59
INDUSINDBK.NS,1040.15002441406,1111.40002441406,900.150024414062,888.150024414063,0.31805,0.605
M&M.NS,1237.75,1312.05004882813,732.450012207031,837.150024414063,0.08332,4.18
BAJAJFINSV.NS,1507.31005859375,1740.64001464844,887.044982910156,1640.61999511719,0.073,0.572
SBIN.NS,533.75,533.299987792969,279.399993896484,460.450012207031,0.16500999,-0.007
UPL.NS,767.349975585938,756.450012207031,469.299987792969,747.099975585938,0.07881,0.295
NTPC.NS,156.5,160.699996948242,99.0500030517578,124.400001525879,0.11785,0.154
ADANIPORTS.NS,801.25,837.799987792969,503.850006103516,730.299987792969,0.28441998,-0.179
APOLLOHOSP.NS,4288.10009765625,4277.14990234375,2414.85009765625,5013.39990234375,0.06014,-0.352
HINDALCO.NS,424,421.950012207031,238.350006103516,475.549987792969,0.07114,0.478
POWERGRID.NS,218.949996948242,226.100006103516,142.125030517578,204.399993896484,0.34577,-0.366
